scenario_id,nome_incendio,split,area_acres,time_seconds,runs
S001,0624_RS__EAST_MAURY,train,1492.2,0.0257,3
S002,HENRYS_CREEK,train,52543.3,0.0255,3
S003,SCHOOL,train,7312.3,0.0321,3
S004,TENDERFOOT,train,4119.5,0.0256,3
S005,TULE,train,36142.2,0.0256,3
S006,BIG_POINT,train,3993.4,0.0285,3
S007,BEECH_GROVE_ROAD,train,360.2,0.0255,3
S008,LONGVIEW,train,986.6,0.0255,3
S009,588,train,665.2,0.0277,3
S010,MOOSE,train,8695.0,0.0265,3
S011,EADES_HOLLOW,train,686.2,0.0275,3
S012,NORTH_TULLOCK,train,2717.9,0.028,3
S013,PORTAL_PEAK,train,357.8,0.0255,3
S014,RAIL,train,41708.2,0.0267,3
S015,CLEAR_CREEK,train,1207.3,0.027,3
S016,REY,train,32605.4,0.0281,3
S017,LA_SIERRA,train,4924.6,0.028,3
S018,BROWN,train,15396.5,0.0291,3
S019,WEST_BALDY,train,421.8,0.0292,3
S020,RIDGE,train,1281.6,0.0257,3
S021,COBBLY_NOB,train,764.0,0.0254,3
S022,ROOKERY_I,train,524.3,0.0281,3
S023,COVERED_BRIDGE,train,329.1,0.0255,3
S024,SAWMILL,train,1536.3,0.0256,3
S025,DOUGLAS,train,2347.0,0.0259,3
S026,CALIFORNIA_TRAIL,train,811.4,0.0274,3
S027,GORDON,train,434.2,0.0263,3
S028,SAGE,train,4238.4,0.0253,3
S029,TOKEWANNA,train,1286.8,0.0275,3
S030,SHERPA,train,7474.2,0.0257,3
S031,GOOSE,train,2241.0,0.0259,3
S032,WEBBER_CANYON,train,504.4,0.026,3
S033,SKIBO,train,720.1,0.0257,3
S034,PEARSON_#2,train,316.1,0.0265,3
S035,CARICO,train,4389.5,0.0254,3
S036,WEST_ANTELOPE,train,15088.3,0.0253,3
S037,CLEAR_CREEK,train,3163.0,0.0274,3
S038,16_MILE,train,8030.4,0.0279,3
S039,SNAKE_RIVER_FIRE,train,7903.1,0.0254,3
S040,CARIBOU_COUNTY_ASSIST_#1,train,350.3,0.0257,3
S041,CEDAR,train,4868.2,0.0256,3
S042,CHIMNEY_ROCK,train,599.3,0.0254,3
S043,ELK_RIDGE,train,1222.8,0.0257,3
S044,WALKER_CREEK,train,691.2,0.0256,3
S045,JACOBSON,train,1704.7,0.0257,3
S046,MULE_RIDGE,train,8354.0,0.0255,3
S047,WARSAW,train,308.7,0.0281,3
S048,COYOTE,train,14430.3,0.0295,3
S049,CUMERO,train,5561.1,0.0256,3
S050,FLY_CANYON,train,2180.9,0.0294,3
S051,LEE_VALLEY,train,310.6,0.0268,3
S052,WHITE_OAK_CIRCLE,test,3135.2,0.0264,3
S053,LOST_SOLAR,test,4754.9,0.0255,3
S054,LION,test,3153.7,0.0254,3
S055,ELK_HILL,test,1360.1,0.0256,3
S056,HALLS_TOP,test,2039.4,0.0253,3
S057,GRIFFIN_GULCH,test,1262.6,0.0255,3
S058,EAST_MILLER_COVE,test,1502.0,0.0283,3
S059,SACATA,test,2099.1,0.0256,3
S060,ROCK_CREEK,test,1382.4,0.0252,3
S061,BLACK_PEAK,test,4429.0,0.0261,3
S062,SHORT,test,2576.9,0.0281,3
S063,CLIFTON,test,2410.8,0.0285,3
S064,WEST_GOVERNMENT_CREEK,test,4337.8,0.0266,3
S065,STRAWBERRY,test,4603.1,0.0255,3
S066,STONEY_FORK_ROAD_#3,test,1444.8,0.0279,3
S067,WALL,test,1474.7,0.0287,3
S068,LITTLE_DEN,test,3509.3,0.028,3
